sentence,emotion
What was that noise? I'm too scared to investigate.,4
I can't believe they messed up AGAIN!! 😡😡,3
The thought of public humiliation makes me avoid the spotlight.,4
Can you even believe surprise it?,5
This is the worst service I've ever experienced!! 😠,3
why does everyone else seem to have it all figured out?,0
Fear that my dreams r 2 big 4 me,4
The thought of never achieving my full potential scares me.,4
The thought of losing my loved ones keeps me up at night.,4
You can't make this up can surprise you?,5
Successfully completed a challenging home renovation project on time,1
why won't this pain in my heart go away?,0
You complete me in every way possible,2
why won't anyone see the real me behind this mask?,0
i feel like i'm slowly losing my connection to the world,0
Your love gives me wings to fly 🦋,2
This is getting OUT OF CONTROL fix it!,3
wow! 🎭 i didn't expect to love mime so much,5
We fit together like two pieces of a heart,2
Successfully launched my own business and it's thriving,1
My smile is brighter than a thousand suns,1
U won’t believe what I just saw!,5
holy moly! i just got a surprise scholarship,5
I'm so freaking tired of all the mistakes! 😡😡,3
Afraid of history repeating itself,4
Received an unexpected gift that showed how well someone understands me,1
The fear of the unknown future keeps me from embracing the present.,4
I can’t believe how lucky I am to have found you,2
Life is a gift and I'm unwrapping it with glee,1
Discovered a hidden talent I never knew I had,1
Finally conquered my fear of flying and enjoyed a trip,1
This site http://www.makesmesick.com  is a nightmare! 😡😤,3
I'm so angry it's unbelievable!!,3
whoa! 😮 i didn't see that plot twist coming in S3E7 #GameOfThrones,5
The fear of the unknown keeps me from embracing new opportunities for growth.,4
Successfully completed a challenging home renovation project on time and under budget,1
whoa! i just solved a rubik's cube in record time,5
Cooked a delicious meal for my friends and they loved it,1
Can’t wait to make more beautiful memories with you,2
Can you PLEASE do something right anger for once?!,3
holy moly! i just found my dream house - 5bd 4ba and a pool!,5
Honestly just can't w/ you ppl anymore...,3
i feel like i'm slowly losing touch with reality,0
i can't find any reason to smile anymore,0
I'm so happy I could do the happy dance,1
Witnessed a breathtaking meteor shower on a clear night,1
The fear of missing out on life's experiences paralyzes me.,4
Terrified of publick speaking omg,4
i'm lost in a forest of negative self-talk,0
i'm exhausted from pretending to be okay,0
i'm scared of being alone forever,0
Worried Im 2 quiet in conversations,4
The thought of never living up to my full potential scares me deeply.,4
I can't shake the feeling that something terrible is about to happen.,4
omg! 😱 i can't believe i'm going parasailing at 500 feet,5
I'm happier than a kid on Christmas morning 🎄,1
Witnessed the birth of a new family member and felt overwhelming joy,1
I'm madly in love with you always and forever,2
i'm astonished by how much i've learned - mastered 5 languages in a year,5
i'm tired of feeling like i'm not enough,0
I just can't believe it mind blown!,5
With you every day feels like paradise 🌸,2
I'll never stop loving you not even for a second ❤,2
omg! 😮 i can't believe i'm going to meet the president @POTUS,5
i'm tired of feeling like a failure in everything,0
I'm scared of being left behind in a rapidly changing world.,4
Think I mite be alone fear fear ever,4
I’m so lucky to have found you 💓,2
i feel like i'm slowly fading into obscurity,0
I’m yours now and always love,2
i'm exhausted from trying to meet everyone's expectations,0
