sentence,emotion,predicted_emotion
noising scared investigating,4,4
believing messed,3,0
thoughts publics humiliations makes avoids spotlights,4,0
believing surprising,5,0
worsts servicing experienced,3,0
figured,0,0
fears dreams rs biggest,4,4
thoughts achieving fulls potentials scares,4,0
thoughts losing loved nights,4,0
making surprising,5,0
successfully completed challenging homing renovations projects timing,1,1
wills not pains hearts went,0,0
completing,2,0
wills not reis behinds. masks,0,0
felt liking slowly losing connections worlds,0,0
loving wings flying,2,2
getting controls fixing,3,0
wows not expects loving miming,5,5
fitting liking twos pieces hearts,2,0
successfully launched businesses thriving,1,1
smiling brighter thousands suns,1,1
u won’t believing justest,5,0
holiest moly justest surprising scholarships,5,0
freaking tired mistakes,3,0
afraid histories repeating,4,4
received unexpected gifts showed understands,1,0
fears unknowns futures embracing presents,4,4
can’t believing luckiest,2,0
lives gifts unwrapping glees,1,1
discovered hidden talents knew,1,1
finally conquered fears flying enjoyed trips,1,0
siting nightmares,3,0
angriest unbelievable,3,0
whoa not plotting twists comings se gameofthrones,5,0
fears unknowns embracing newest opportunities growths,4,4
successfully completed challenging homing renovations projects timing budgets,1,1
whoa justest solved rubiks cubing records timing,5,0
cooked delicious meals friends loved,1,0
can’t waits making beautiful memories,2,0
rights angers,3,3
holiest moly justest dreamt housing bds ba pools,5,0
honestly justest ws ppl anymore,3,0
felt liking slowly losing touching realities,0,0
found reasons smiling anymore,0,0
happiest happiest dancing,1,1
witnessed breathtaking meteors showers nights,1,1
fears missing lifes experiences paralyzes,4,4
terrified publick speaking omg,4,4
lost forests negativing selftalk,0,0
exhausted pretending,0,0
scared alone forever,0,0
worried im quiets conversations,4,4
thoughts livings fulls potentials scares deeply,4,0
shook feelings terrible happens,4,4
omg believing parasailing feet,5,0
happier kids christmas mornings,1,1
witnessed births newest families members felts overwhelming joys,1,1
madly loving forever,2,2
astonished learned mastered languages years,5,5
tired feelings liking not,0,0
justest believing minds blown,5,0
days feels liking paradises,2,0
wills stops loving not,2,2
omg believing met presidents potus,5,0
tired feelings liking failures,0,0
scared lefts behinds. rapidly changings worlds,4,4
thought mites alone fears fears,4,4
i’m luckiest,2,0
felt liking slowly fading obscurities,0,0
i’m loving,2,2
exhausted met everyones expectations,0,0
angers i’m,3,3
lives felt liking struggling,0,0
wows not expects loving jazzing attended concerts years,5,5
whoa justest unicorns waits justest horsing icing creams coning,5,0
can’t believing isn’t resolved ugh,3,0
finally perfected grandmothers secrets recipes,1,1
surprising,5,0
lit ends tunnels,0,0
holiest smokes justest personals records benches pressed lbs,5,0
woke sounds birds chirping windows,1,1
fears oceans depths swimmings,4,4
drivings walls,3,0
i’m blessed lives,2,0
worrying bouts not findings soulm,4,4
wills not darkness souls lifts,0,0
loving lives i’ll went,2,2
borne thoughts facings another days,0,0
phobias heights makes dizzying nauseous tallest buildings,4,0
loving precious treasuring,2,2
completely aback surprising visits oprah,5,0
honestly justest ws ppl anymore,3,0
hearts beats,2,0
understood angers,3,3
managing messing things,3,0
laughters bests medicines,1,1
reconnected passions paintings years,1,1
thought mites fails exams weeks,4,0
fears rejections expressing true feelings,4,4
hearts ️ abandoned housing broken dreams,0,0
longs fixing simpling things,3,0
ones jobs couldn’t rights,3,0
messing,3,0
ones true loving i’ll loving forever,2,2
not strongest overcoming mental health struggles,4,0
souls wearying endless struggling,0,0
absolutely gobsmacked news moving paris,5,0
happenings,3,0
pasts presents futures,2,0
fixing what’s holdups,3,0
escaping feelings worthlessness,0,0
tired feelings liking disappointments,0,0
explains,3,0
liking angers works angers rights,3,3
pains scared went doctors,4,4
totally amazed technological advancements teleportations,5,5
captivated loving singling days,2,2
messing,3,0
fears makings irreversible mistakes paralyzes indecision,4,4
wills not hears silent screams,0,0
believing careless,3,0
making hearts smiling,2,0
found true loving ends alone forever,4,0
ones compares not closing,2,0
shocked quickly projects completed years earliest,5,5
totally blew minds,5,0
utterly surprised turns events chapters,5,5
holiest moly justest surprising inheritances millions,5,0
happier dogs tails,1,1
loving neverending stories,2,2
reached summits challenging hiking felt tops worlds,1,1
felt liking drownings seas regrets,0,0
not attractive found partners,4,0
oh gods justest happened,5,0
terrified forgotten irrelevant fastpaced worlds,4,4
watched favorites athletes broken worlds records realtime,1,0
afraid wills well,4,4
finally paid debts felt financially freest,1,1
soulmates destined,2,0
happiness superpowers,1,1
loving beautiful tapestries memories,2,2
happiness favorites emotions,1,1
hearts desiring,2,0
angers angers rights,3,3
found peace chaotic worlds,0,0
found strengths,0,0
terrified losing identities relationships,4,4
scared lefts behinds. worlds changes rapidly,4,4
eternally grateful loving,2,0
fears failures prevents risks lives,4,4
scared diagnosed illnesses,4,4
holiest cows justest won years supplying icing creams benandjerrys,5,0
gotten beautiful artworks banksy originals,5,0
drownings seas regrets,0,0
hearts heaviest unspoken words,0,0
holiest smokes justest perfects scoring mcat,5,0
worried bouts losing memories,4,4
surprising,5,0
worried bouts futures worlds,4,4
happily true,2,0
terrified darks shadows lurking rooms,4,4
happiness justest reaching,0,0
not signed,3,0
believing presentations,5,0
fears dogs dosent really luv,4,4
feels liking dreamt true,2,0
luckiest mining,2,0
loving beautiful adventuring,2,2
omg believing antarctica researching,5,0
greatest adventuring,2,0
hearts shattered countless pieces,0,0
terrified forgotten insignificant grands scheming things,4,4
peopling gotten rights,3,0
lives painful,0,0
justest happened,5,0
ones companies messing times,3,0
harts fulls happiness,1,1
terrified stuck jobs drains souls,4,4
understood listens,3,0
utterly speechless beautiful views mt everest,5,0
happiness warms puppies,1,0
received unexpected gifts secrets admirers,1,0
i’m angers justest gotten,3,3
grateful loving,2,0
things justest wrought properly,3,0
thoughts trapped smalls spacing makes panics,4,4
tops worlds happiest todays,1,1
scared judged unconventional lifestyles choices,4,4
beaming joys,1,1
craziest surprising,5,0
scared trapped toxics relationships,4,4
hearts shattered millions pieces,0,0
lives sweets savoring evry moments,1,1
times,3,0
shook feelings unwanted,0,0
exhausted,0,0
dealt incompetence longer,3,0
felt liking drownings seas sadness,0,0
afraid failures,4,4
days sprung fills hoping,1,1
joys soundtracks lives,1,1
thoughts happens,5,0
stops makings complicated,3,0
completely floored acts kindnesses strangers,5,0
shocked quickly timing flown,5,5
received heartfelt noting mentored years ago,1,1
messing disasters,3,0
hearts ️ deserts emptiness,0,0
not,5,0
dealt longer limits,3,0
thoughts reaching fulls potentials haunts days nights,4,0
believing delicious newest recipes turned,5,0
angers believing longs,3,3
afraid homing alone nights,4,4
wills not feelings inadequacies went,0,0
wills not pains souls went,0,0
hearts broken recognitions,0,0
wills not pains behinds. eyes,0,0
helped lost childs reuniting parents,1,0
surprised parents heartfelt gifts loved,1,0
wills not reis,0,0
totally stunned unexpected reunions years,5,5
felt liking walking lives shadows,0,0
completely aback heartfelt compliments,5,0
totally ordinary,5,0
hearts skips beats,2,0
servicing absolutely pathetic fixing,3,0
sounds footsteps getting closers sends chills spines,4,0
not intelligent peers,4,0
beaming insides,1,1
repeating,3,0
disasters waiting happens,3,0
completely aback gesturing anonymous m donations,5,0
tired repeating ugh,3,0
lives felt overwhelming,0,0
scared makings fools fronts crushing,4,4
completely floored surprising bonuses months extras pays,5,0
can’t believing careless,3,0
wows not expects northerns lights alaska,5,5
addicted loving wonderful,2,0
felt liking falling apart seams,0,0
exploding frustrations,3,0
terrified stuck lives not fulfills,4,4
ughh anymore,3,0
omg times went,3,0
successfully completed difficult diy projects putting,1,1
straws,3,0
loving beautiful gifts,2,2
not resolved,3,0
alwys messing ws guys,3,0
holiest smokes justest met longlost siblings years,5,0
stops tears falling insides,0,0
remembers timing felts alive,0,0
gotten things rights timing,3,0
saddest,0,0
found reasons,0,0
websites visits everyday loving stories,2,2
fears im not livings potentials,4,4
hearts belongs ones,2,0
successfully grew vegetables timing,1,1
felt liking drownings tears,0,0
justest finished readings inspiring books,1,1
not resilient bouncing failures,4,0
servicing drivings craziest,3,0
received heartfelt letters lives positively impacted,1,1
walkin clouds sprung steps,1,1
nonsense,3,0
created beautiful hands,1,1
ugh can’t rights,3,0
happier birds worms,1,1
dancin airs happiness,1,1
gotta kidding,5,0
lives unfairest,0,0
totally amazed technological breakthroughs,5,5
witnessed beautiful moments forgiveness twos estranged friends,1,1
scared findings true,0,0
lost loving,2,2
wills loving stars fell skying,2,2
can’t stops thinking singling days,2,0
watched favorites books adapted beautiful movies,1,1
happier kids candies storing,1,1
absolutely unbelievable,5,5
ugh can’t rights,3,0
lives beautiful surrounded loving,1,0
stops worrying futures overwhelming,4,4
minds battlegrounds selfloathing,0,0
justest angers gotten rights,3,3
stops floods negativing thoughts,0,0
finally learned plays favorites songs guitars,1,1
lives felt liking struggling,0,0
hardest justest listens,3,0
felt liking making sufferings,0,0
hardest believing reis,5,0
surprising elements insanest,5,0
minds prisons anxious thoughts,0,0
believing happened fasts,5,0
justest plains unacceptable,3,0
levels stupidities longer,3,0
should’ve expects,3,0
hassling,3,0
checks it’s infuriating,3,0
justest jobs,3,0
freaking anoying belive,3,0
loving beautiful symphonies,2,2
not worthiest loving happiness,4,0
absolutely gobsmacked incredible coincidences,5,5
worried bouts not enuff,4,4
happiness eternities,2,0
happiness radiates liking sunbeams,1,1
happiness highs,1,1
happiest cartwheels,1,1
shows partying,4,0
escaping clouds depressions,0,0
grateful lives,2,0
timing thought gotten worse,3,0
justest fixing hardest,3,0
bests,2,0
scared lefts behinds. others achieving dreams goals,4,4
can’t believing we’re dealing bs,3,0
whoa justest unicorns clouds,5,0
not capable achieving fitnesses goals,4,0
believing experiments turned revolutionaries energies sourcing discovered,5,0
joys radiates liking lighthouses,1,1
times,3,0
you’re ones i’ve waiting lives,2,0
guiding lit loving forever,2,2
wills not understood feelings,0,0
wholes things disasters faults,3,0
loving eternal neverending,2,2
lost minds nonsense,3,0
received jobs offers dreamt positions,1,1
helped organizing communities events peopling,1,1
thoughts homeless alone streets scares,4,0
bothers anymore,3,0
sights bloods makes felt faints panicky,4,0
finally mastered difficult yoga posing practicing months,1,1
witnessed breathtaking naturals phenomenons liking northerns lights,1,1
thought mites found peace,4,0
fears failures pursuing wildest dreams ambitions,4,4
lives complicated,0,0
shockers,5,0
astonished plans,5,5
wills not emptiness went,0,0
not resolved anymore,3,0
